suhu,kelembaban,curah hujan,sinar matahari,kondisi
26,87,14,3,0
26,87,15,5,0
26,86,8,6,1
26,86,4,7,1
26,83,0,7,1
26,83,1,6,1
26,81,0,7,1
26,82,0,8,1
26,83,1,6,1
27,79,0,8,1
26,83,1,6,1
27,87,7,4,1
26,88,12,5,0
27,87,10,6,1
26,88,27,4,0
27,85,5,6,1
27,82,0,7,1
25,83,0,6,1
24,81,0,7,1
24,80,0,8,1
25,77,1,8,1
27,78,0,8,1
28,79,1,7,1
27,83,9,5,1
27,86,13,5,0
27,87,18,5,0
27,88,22,5,0
27,87,8,6,1
27,87,9,4,1
26,84,0,6,1
26,81,0,6,1
26,81,1,7,1
27,79,1,7,1
27,83,5,4,1
27,84,10,6,0
26,88,10,3,0
26,86,12,3,0
26,87,11,4,0
26,86,6,5,1
27,83,8,7,1
27,83,0,7,1
26,86,9,5,1
26,82,1,7,1
26,82,1,7,1
27,80,3,6,1
27,83,2,6,1
26,91,18,3,0
27,88,10,4,0
27,86,15,5,0
26,87,15,4,0
26,88,12,5,0
27,87,8,7,1
27,87,6,6,1
26,88,7,5,1
26,85,1,6,1
26,85,3,7,1
26,84,4,6,1
26,90,10,3,0
26,91,12,3,0
26,89,14,4,0
27,86,10,4,0
