Suhu,Kelembaban,Curah Hujan,Sinar Matahari,Kondisi
25.88,86.97,14.22,3.27,0
25.99,87.46,15.35,5.49,0
26.39,86.16,7.76,6.09,1
27.02,85.5,3.86,6.6,1
26.34,82.77,0.41,7.19,1
25.62,83.2,0.77,5.99,1
24.24,81.32,0,7.46,1
24.34,81.55,0.04,7.55,1
25.77,82.9,0.87,6.39,1
27.08,79.13,0,7.57,1
25.77,82.9,0.87,6.39,1
26.51,86.58,6.66,4.18,1
26.4,87.71,12.25,4.72,0
26.61,87.04,10.07,6.05,0
26.24,87.97,26.86,4.27,0
27.24,85.03,4.72,6.36,1
26.68,82.16,0.03,7.47,1
24.68,82.6,0.03,6.16,1
24.32,81.23,0,6.89,1
24.47,79.61,0,8.08,1
25.42,76.63,1,7.83,1
26.82,78.06,0,8.17,1
27.51,79.27,0.92,7.28,1
27.49,83.23,9.03,5,1
26.92,85.61,12.76,4.87,0
26.8,87.03,18.11,4.8,0
26.64,88.19,21.53,4.5,0
27,86.8,8.27,6.05,1
26.83,86.94,9.19,3.75,1
26.18,84.37,0.13,5.99,1
25.5,81.03,0.2,6.36,1
25.82,80.65,0.85,6.99,1
26.54,79.2,0.6,6.7,1
26.74,82.87,4.74,4.47,1
27.16,83.83,10.13,5.51,0
26.01,87.61,10.09,2.51,0
26.28,86.26,12.48,2.73,0
26.09,87.36,11.31,3.92,0
26.42,85.58,6.33,5.29,1
26.78,82.77,8.22,7.15,1
27.05,83.19,0.12,6.67,1
26.37,85.7,9.23,5.3,0
25.65,82.26,0.96,7.07,1
25.91,82.42,1.3,6.61,1
26.58,79.67,3.48,6.48,1
26.75,82.9,2.29,5.78,1
26.08,90.53,17.69,2.61,0
26.65,88.1,10.03,3.86,0
26.56,85.68,14.68,4.85,0
26.28,86.64,14.7,3.8,0
26.36,87.74,11.66,4.87,0
26.63,87.07,7.59,6.65,1
26.93,87.23,6.06,5.57,1
25.85,88.1,7.11,4.94,1
25.55,85.06,0.71,5.79,1
25.68,84.77,2.71,6.73,1
26.47,83.87,3.85,5.73,1
25.56,90.06,10.26,3.3,0
25.81,90.77,12.2,2.92,0
26.18,89.39,14.32,3.79,0
27.34,85.75,10.02,4,0
